Country,Clicks,Impressions,CTR,Position
United States,2632,32173,8.18%,5.92
United Kingdom,573,8333,6.88%,6.06
Canada,206,2962,6.95%,5.78
Australia,139,1782,7.8%,6.03
France,87,692,12.57%,6.46
Brazil,59,956,6.17%,7.04
Germany,57,1054,5.41%,6.45
Philippines,54,1202,4.49%,7.44
India,37,408,9.07%,8.38
Italy,32,633,5.06%,6.75
Malaysia,31,385,8.05%,7.61
Turkey,26,568,4.58%,8.23
Iran,25,80,31.25%,6.14
New Zealand,24,297,8.08%,5.54
Netherlands,21,774,2.71%,6.71
Spain,21,358,5.87%,7.09
Ireland,21,319,6.58%,6.35
Hungary,19,173,10.98%,5.54
Poland,18,389,4.63%,6.35
Russia,18,160,11.25%,8.86
Belgium,17,219,7.76%,5.73
Sweden,16,220,7.27%,5.67
Mexico,15,524,2.86%,8.38
Indonesia,14,259,5.41%,11.6
Singapore,13,229,5.68%,5.28
Japan,12,156,7.69%,5.13
Thailand,10,344,2.91%,10.12
South Africa,10,246,4.07%,6.47
Argentina,10,148,6.76%,7.21
Portugal,9,165,5.45%,6.67
Israel,7,177,3.95%,7.46
Morocco,7,92,7.61%,11.25
South Korea,7,74,9.46%,6.58
Mongolia,7,56,12.5%,5.5
Denmark,6,115,5.22%,5.5
Jordan,6,82,7.32%,9.05
Serbia,6,80,7.5%,6.8
Kazakhstan,6,67,8.96%,5.54
Sri Lanka,6,39,15.38%,4.85
Romania,5,180,2.78%,6.18
Switzerland,5,61,8.2%,5.82
Algeria,5,58,8.62%,13.43
Taiwan,5,54,9.26%,5.5
Ukraine,5,53,9.43%,11.47
Chile,4,122,3.28%,6.57
United Arab Emirates,4,104,3.85%,6.42
Czechia,4,97,4.12%,5.58
Norway,4,89,4.49%,5.99
Trinidad & Tobago,4,70,5.71%,6.47
Georgia,4,53,7.55%,5.91
Jersey,4,12,33.33%,7.17
Vietnam,3,209,1.44%,16.83
Hong Kong,3,106,2.83%,5.28
Finland,3,63,4.76%,6.46
Austria,3,56,5.36%,6.57
Croatia,3,51,5.88%,5.82
Lithuania,3,39,7.69%,6.1
Curaçao,3,33,9.09%,2.52
Myanmar (Burma),3,26,11.54%,6.65
Macedonia,3,25,12%,5.16
Latvia,3,19,15.79%,3.42
Brunei,3,16,18.75%,4
Suriname,3,9,33.33%,5.67
Egypt,2,81,2.47%,6.93
Puerto Rico,2,63,3.17%,6.22
Nigeria,2,58,3.45%,5.55
Bulgaria,2,56,3.57%,7.62
Greece,2,53,3.77%,6.89
Slovakia,2,47,4.26%,5.45
Lebanon,2,36,5.56%,6
Ecuador,2,35,5.71%,7.26
Colombia,2,35,5.71%,7.91
Cyprus,2,26,7.69%,5.96
Albania,2,22,9.09%,5
Kenya,2,20,10%,3.9
Oman,2,11,18.18%,4.73
Isle of Man,2,10,20%,7.8
Swaziland,2,6,33.33%,3.67
Saudi Arabia,1,110,0.91%,8.95
Bangladesh,1,73,1.37%,14.88
Azerbaijan,1,42,2.38%,6
Dominican Republic,1,41,2.44%,7.05
Iceland,1,39,2.56%,4.49
Guatemala,1,34,2.94%,6.85
China,1,34,2.94%,7.62
Iraq,1,32,3.12%,9.81
Uzbekistan,1,27,3.7%,8.3
Bahrain,1,26,3.85%,6.15
Montenegro,1,21,4.76%,6.33
Jamaica,1,21,4.76%,6.38
Nicaragua,1,12,8.33%,6.5
Armenia,1,12,8.33%,7.75
Kyrgyzstan,1,11,9.09%,6.09
Belarus,1,11,9.09%,7.73
Senegal,1,10,10%,6.2
Mauritius,1,10,10%,6.4
Palestine,1,9,11.11%,5.89
Tajikistan,1,9,11.11%,12.67
Syria,1,8,12.5%,4.25
Kosovo,1,6,16.67%,4.17
Bahamas,1,6,16.67%,6.83
Namibia,1,4,25%,6
Congo - Kinshasa,1,4,25%,7
Luxembourg,1,3,33.33%,3
St. Lucia,1,3,33.33%,4.33
Madagascar,1,1,100%,1
St. Vincent & Grenadines,1,1,100%,2
Qatar,0,36,0%,5.25
Pakistan,0,36,0%,10.61
Peru,0,35,0%,6.29
Venezuela,0,34,0%,6.29
Costa Rica,0,33,0%,6.03
Tunisia,0,24,0%,6.42
Uruguay,0,24,0%,6.96
Cambodia,0,19,0%,5.74
Malta,0,19,0%,5.74
Panama,0,19,0%,7.95
Nepal,0,19,0%,8.47
