Top pages,Clicks,Impressions,CTR,Position
https://anomaly-alpha.github.io/guide/code/,4115,52456,7.84%,6.23
https://anomaly-alpha.github.io/,195,3466,5.63%,5.48
https://anomaly-alpha.github.io/guide/pvp/,48,2511,1.91%,6.53
https://anomaly-alpha.github.io/guide/beginners/,39,1607,2.43%,7.22
https://anomaly-alpha.github.io/guide/faq/,27,1563,1.73%,7.84
https://anomaly-alpha.github.io/guide/xp/,13,914,1.42%,5.59
https://anomaly-alpha.github.io/guide/event/,7,863,0.81%,6.53
https://anomaly-alpha.github.io/guide/login/,1,424,0.24%,5.34
